Metadata_Group,AreaShape_Compactness,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,Intensity_MaxIntensity_origImage,Intensity_MeanIntensity_origImage,Intensity_MinIntensity_origImage,Class
1,4.842271753,37.80211634,3.0,6.350780566,5.494541644,0.0025374860000000003,0.0018083679999999999,0.00106113,HWJC
1,1.919621345,76.53103945,12.16552506,50.61605018,40.57188529,0.003921569000000001,0.002097439,0.000999616,HWJC
1,2.227902372,81.0246876,10.77032961,22.7254225,20.481737699999996,0.003921569000000001,0.002200221,0.0009381010000000001,HWJC
1,1.560958563,41.10960958,8.485281374,17.00617053,16.25767343,0.003921569000000001,0.002301437,0.001045752,HWJC
1,1.183684567,36.24913792,10.0,20.93378918,20.31211393,0.003921569000000001,0.002194769,0.0009688580000000001,HWJC
1,1.147114824,44.20407221,13.60147051,33.0991649,32.6369891,0.003921569000000001,0.002289746,0.001045752,HWJC
1,1.9783967390000001,55.36244214,8.062257748,19.63562978,18.92930691,0.003921569000000001,0.0022033210000000003,0.0009688580000000001,HWJC
3,8.231307724,347.0518693,20.02498439,142.77018859999998,101.1942932,0.003921569000000001,0.002136893,0.000276817,MHC
3,8.003377333,328.8236609,19.23538406,63.9345214,47.11344576,0.003921569000000001,0.002111846,0.000430604,MHC
3,1.0846255679999999,155.54099140000002,47.38143096,109.39584669999999,103.9407243,0.003921569000000001,0.002075231,0.000415225,MHC
3,9.044056246,344.98985489999995,12.08304597,48.0,34.13632428,0.003921569000000001,0.002211644,9.23e-05,MHC
3,2.218010607,80.22468448,11.18033989,30.70077112,24.32778936,0.003921569000000001,0.002224447,0.0006612839999999999,HWJC
3,6.97915027,184.3827541,10.81665383,40.69827271,31.06889936,0.003921569000000001,0.002219858,0.000584391,HWJC
3,3.9786652360000003,241.5988411,19.10497317,50.16642743,41.11021033,0.003921569000000001,0.0021294639999999997,0.000615148,MHC
3,9.848140476000001,313.07666789999996,20.51828453,59.78022527,46.02622524,0.003921569000000001,0.002169252,0.000461361,MHC
3,8.59351046,439.6293893999999,28.44292531,75.24893155,69.69204551,0.003921569000000001,0.002124155,0.000845829,MHC
3,5.603644462,357.36396010000004,26.248809499999997,96.50640899,94.54702538,0.003921569000000001,0.002083508,0.000615148,MHC
4,2.141443462,161.64467199999999,16.97056275,96.98443624,96.3602906,0.003921569000000001,0.002270723,0.000276817,HWJC
4,1.682156009,106.51291,21.02379604,48.31544949,42.55502184,0.003921569000000001,0.002363773,0.000307574,HWJC
4,1.6191635119999999,156.5247584,28.17800561,82.62430399,67.76681101,0.003921569000000001,0.00228347,0.000522876,HWJC
4,9.962036565,271.1825953,11.66190379,39.54489391,29.92159173,0.003921569000000001,0.0022168129999999998,0.0007843139999999999,MHC
6,1.5743842369999999,132.849539,21.9544984,80.31816490000001,65.43252732,0.003921569000000001,0.002110336,0.000430604,HWJC
6,7.007611917,277.9136557,14.86606875,63.22750414,51.178400399999994,0.003921569000000001,0.002227076,0.000430604,MHC
6,3.175320591,160.6393476,13.60147051,54.55880672,45.26075244,0.003921569000000001,0.0022143139999999998,0.000307574,HWJC
6,14.47894456,355.844067,12.72792206,50.06055948,30.49124134,0.003921569000000001,0.002144028,0.000876586,MHC
6,7.766460574,242.9917694,19.72308292,116.34480590000001,117.24901659999999,0.0025528639999999997,0.002048385,0.001245675,MHC
