Metadata_Day,Metadata_Group,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_origImage,Intensity_IntegratedIntensity_origImage,Intensity_LowerQuartileIntensity_origImage,Intensity_MADIntensity_origImage,Intensity_MassDisplacement_origImage,Intensity_MaxIntensityEdge_origImage,Intensity_MaxIntensity_origImage,Intensity_MeanIntensityEdge_origImage,Intensity_MeanIntensity_origImage,Intensity_MedianIntensity_origImage,Intensity_MinIntensityEdge_origImage,Intensity_MinIntensity_origImage,Intensity_StdIntensityEdge_origImage,Intensity_StdIntensity_origImage,Intensity_UpperQuartileIntensity_origImage,Class
4,3,2426,6.97915027,0.988436204,1,0.175720701,0.105297157,204.8895625,184.3827541,10.81665383,3.481769702,3,40.69827271,31.06889936,-75.15400618,538.074,0.411047103,0.929704029,5.385375092,0.001722415,0.000399846,0.342581259,0.002814302,0.003921569,0.002167142,0.002219858,0.00224529,0.001091888,0.000584391,0.000183742,0.000736107,0.002583622,HWJC
4,3,6266,3.978665236,0.986171376,1,0.202921079,0.130079782,248.0572067,241.5988411,19.10497317,6.376566886,5.656854249,50.16642743,41.11021033,60.77600443,778.028,0.59613738,1.334517586,13.34322248,0.001830065,0.000261438,0.504276601,0.002583622,0.003921569,0.002155925,0.002129464,0.002076125,0.000968858,0.000615148,0.000207126,0.000524975,0.002337563,MHC
6,3,5681,9.848140476,0.992390037,1,0.236471861,0.105862737,373.7893457,313.0766679,20.51828453,5.675950133,4.123105626,59.78022527,46.02622524,81.60443749,821.194,0.428528325,1.499715599,12.32352223,0.001830065,0.00035371,0.981645596,0.002706651,0.003921569,0.002221801,0.002169252,0.002214533,0.001276432,0.000461361,0.000162773,0.000647561,0.002552864,MHC
6,3,10255,8.59351046,0.988825046,1,0.104234428,0.069369791,467.4789477,439.6293894,28.44292531,6.414863723,5,75.24893155,69.69204551,51.88062065,1362.974,0.383751824,2.217070533,21.78320753,0.001845444,0.000276817,0.696489284,0.00249135,0.003921569,0.002142097,0.002124155,0.002153018,0.001445598,0.000845829,0.000133912,0.000487614,0.002399077,MHC
8,3,9200,5.603644462,0.962595278,1,0.141268964,0.087935599,348.9548848,357.3639601,26.2488095,7.486610873,5.656854249,96.50640899,94.54702538,62.98049764,1146.612,0.357698289,1.95394093,19.16827471,0.001830065,0.000246059,1.528830285,0.002599,0.003921569,0.002166232,0.002083508,0.002076125,0.001276432,0.000615148,0.000190467,0.000460995,0.002322184,MHC
4,4,5539,2.141443462,0.74424609,1,0.336063585,0.145433698,144.2723417,161.644672,16.97056275,5.80501069,5.385164807,96.98443624,96.3602906,-43.65682968,691.812,0.516745965,1.185082724,12.57753233,0.001968474,0.000261438,0.49521785,0.002860438,0.003921569,0.002319144,0.002270723,0.002214533,0.001599385,0.000276817,0.000229383,0.000537165,0.00249135,HWJC
4,4,3135,1.682156009,0.918482106,1,0.426530612,0.376498527,107.6082242,106.51291,21.02379604,7.155906465,6.32455532,48.31544949,42.55502184,-25.8959958,323.476,0.79740557,0.588327598,7.410427097,0.002060746,0.000292195,1.10768497,0.003506344,0.003921569,0.002325406,0.002363773,0.002306805,0.000799692,0.000307574,0.000308505,0.000668913,0.002679739,HWJC
6,4,6423,1.619163512,0.888446126,1,0.460430108,0.285473276,147.6462501,156.5247584,28.17800561,9.624490096,8.602325267,82.62430399,67.76681101,-76.15451842,531.73,0.708041669,0.924982749,14.66672897,0.002045367,0.000215302,1.285295391,0.003921569,0.003921569,0.002383976,0.00228347,0.002229912,0.0016609,0.000522876,0.000267019,0.000500405,0.002475971,HWJC
8,4,4067,9.962036565,0.995594144,1,0.104603909,0.102377757,319.1048645,271.1825953,11.66190379,4.098221704,3.605551275,39.54489391,29.92159173,38.07243734,706.544,0.480931828,1.116908974,9.015778938,0.001799308,0.000369089,1.492354034,0.002629758,0.003921569,0.002064527,0.002216813,0.002168397,0.001138024,0.000784314,0.000140902,0.00064273,0.002552864,MHC
10,6,3980,1.574384237,0.794862586,1,0.343963357,0.20853527,107.8339849,132.849539,21.9544984,7.069982456,5.830951895,80.3181649,65.43252732,-3.527778677,489.73,0.585897247,0.82985011,8.399139248,0.001876201,0.000215302,0.446375624,0.002706651,0.003921569,0.002178084,0.002110336,0.002076125,0.00130719,0.000430604,0.000218568,0.000511815,0.002306805,HWJC
